City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
400,Sal Rei,CV,71.19,clear sky,16.1833,-22.9167,Marine Club Beach Resort
403,Kahului,US,75.85,broken clouds,20.8947,-156.47,Maui Seaside Hotel
404,Majene,ID,78.69,scattered clouds,-3.5403,118.9707,Kost Putri RABBANI
405,Caravelas,BR,80.56,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
407,Bima,ID,75.97,broken clouds,-8.4667,118.7167,Lambitu Hotel
409,San Juan,AR,67.8,clear sky,-31.5375,-68.5364,Hotel Provincial
414,Nicolas Bravo,MX,87.75,broken clouds,18.45,-88.9167,
417,Cayenne,GF,86.04,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
418,Avera,US,84.25,overcast clouds,33.194,-82.5271,
424,Liberal,US,70.84,clear sky,37.0431,-100.921,Hampton Inn & Suites Liberal
426,Laguna,US,75.29,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
428,Lompoc,US,72.7,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
429,Beyneu,KZ,68.07,clear sky,45.3167,55.2,NUR
434,Ashland,US,74.97,overcast clouds,40.8167,-82.2665,SureStay
435,Ipixuna,BR,79.68,light rain,-1.7625,-48.8043,Chalé do Mato
436,Kamina,CD,66.4,light rain,-8.7386,24.9906,Guest House Florvia
437,Aroeiras,BR,81.32,broken clouds,-7.5453,-35.7075,Hotel Acauã
438,Boffa,GN,84.51,overcast clouds,10.1667,-14.0333,Hôtel Niara Belly
439,Cabo San Lucas,MX,82.62,scattered clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
440,Hirara,JP,68.23,light rain,24.8,125.2833,Hotel Atoll Emerald Miyakojima
441,Pemangkat,ID,79.61,overcast clouds,1.1667,108.9667,Ramah Kost KITA
442,Culasian,PH,74.98,overcast clouds,11.3069,124.6106,Baybayon ni Dandoy
443,Popondetta,PG,72.18,broken clouds,-8.7537,148.2534,Timos Transit House
444,Kumluca,TR,71.65,clear sky,36.3703,30.2869,TurkuazKöy
447,Cancun,MX,84.06,few clouds,21.1743,-86.8466,Hotel Tankah Cancun
448,Turan,VN,73.38,broken clouds,16.0678,108.2208,Grand Mercure Danang
453,Umm Kaddadah,SD,89.22,clear sky,13.6017,26.6876,
457,Mount Isa,AU,71.37,scattered clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
460,Kathmandu,NP,66.42,scattered clouds,27.7167,85.3167,Hotel Shanker Kathmandu
462,Chimbote,PE,70.5,broken clouds,-9.0853,-78.5783,Hotel Briliá
464,Yaan,NG,83.01,overcast clouds,7.3833,8.5667,
465,Hun,LY,76.03,clear sky,29.1268,15.9477,Alrwasi Hotel
470,Pangai,TO,81.48,overcast clouds,-19.8,-174.35,Ha'apai Beach Resort
472,Valera,VE,86.9,broken clouds,9.3178,-70.6036,Hotel Camino Real
477,Moindou,NC,74.19,clear sky,-21.6924,165.677,Equi-lodge de Moindou
479,Buchanan,LR,81.23,moderate rain,5.8808,-10.0467,Kamaneahn Hotel Inc
485,Mastung,PK,77.02,overcast clouds,29.7994,66.845,Al Hasnan Cold Drink Santer
486,Buraydah,SA,86.45,clear sky,26.326,43.975,Mövenpick Qassim
489,Napierville,CA,66.33,clear sky,45.1865,-73.4047,Motel Souvenir (Sortie 21 Autoroute 15 Napierville)
490,Salon-De-Provence,FR,67.73,clear sky,43.6407,5.0954,HÔTEL SELECT - Contact Hôtel
492,Labuhan,ID,79.18,overcast clouds,-6.8844,112.2051,DoubleFAG
497,Ikongo,MG,65.39,clear sky,-21.8833,47.4333,
501,Vallenar,CL,79.97,clear sky,-28.5708,-70.7581,Humacao Bed & Breakfast
503,Bloomfield,US,74.3,clear sky,40.8068,-74.1854,Troy Carroll
507,Ambon,ID,81.7,scattered clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
509,Kudahuvadhoo,MV,85.84,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
510,Carmen,MX,87.28,broken clouds,18.6333,-91.8333,Hotel Lossandes
512,Erattupetta,IN,76.35,overcast clouds,9.7,76.7833,White Castle Residency
513,Brewster,US,72.43,overcast clouds,41.3973,-73.6171,Heidi's Inn
514,Cruz,BR,83.53,overcast clouds,-2.9178,-40.1717,Hotel Villaboibom
515,Pimentel,PE,69.91,broken clouds,-6.8367,-79.9342,Hotel Puerto del Sol
519,Charters Towers,AU,66.58,clear sky,-20.1,146.2667,Cattleman's Rest Motor Inn
521,Kutum,SD,84.29,broken clouds,14.2,24.6667,Dibbo areaمنطقة دبو
