City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
365,Namibe,-15.1961,12.1522,71.17,74,1,4.59,AO,2022-04-26 23:36:52
366,Ancud,-41.8697,-73.8203,45.37,74,97,12.59,CL,2022-04-26 23:37:52
367,Kaeo,-35.1,173.7833,64.33,76,16,2.19,NZ,2022-04-26 23:37:53
368,Inhambane,-23.865,35.3833,70.11,71,65,10.94,MZ,2022-04-26 23:37:53
369,Pachino,36.7186,15.0907,59.56,65,2,7.34,IT,2022-04-26 23:37:54
370,Nicoya,10.1483,-85.452,82.11,75,96,3.65,CR,2022-04-26 23:37:54
371,Beloha,-25.1667,45.05,72.93,90,100,15.23,MG,2022-04-26 23:37:54
372,Christchurch,-43.5333,172.6333,60.91,74,75,5.75,NZ,2022-04-26 23:35:05
373,Tual,-5.6667,132.75,83.75,73,97,5.28,ID,2022-04-26 23:37:55
374,Olenino,56.2092,33.4889,36.37,95,39,5.28,RU,2022-04-26 23:37:55
375,Dehloran,32.6941,47.2679,75.29,41,21,1.32,IR,2022-04-26 23:37:55
376,Maple Creek,49.9168,-109.4848,68.05,18,99,16.11,CA,2022-04-26 23:37:56
377,Comodoro Rivadavia,-45.8667,-67.5,44.46,61,20,8.05,AR,2022-04-26 23:37:56
378,Vanimo,-2.6741,141.3028,84.72,70,68,6.67,PG,2022-04-26 23:37:57
379,Acajutla,13.5928,-89.8275,84.63,69,53,7.78,SV,2022-04-26 23:37:57
380,Nouadhibou,20.931,-17.0347,64.47,86,0,21.21,MR,2022-04-26 23:37:58
381,Unity,52.4501,-109.1682,57.25,43,100,21.3,CA,2022-04-26 23:37:58
382,Mount Gambier,-37.8333,140.7667,60.71,82,100,9.22,AU,2022-04-26 23:37:58
383,Bilma,18.6853,12.9164,89.44,9,0,9.51,NE,2022-04-26 23:37:59
384,Nanortalik,60.1432,-45.2371,36.99,83,100,8.79,GL,2022-04-26 23:37:59
385,Formosa,-26.1775,-58.1781,85.98,66,0,19.57,AR,2022-04-26 23:37:59
386,Ontario,34.0633,-117.6509,86.45,22,40,13.8,US,2022-04-26 23:37:23
387,Cesme,38.3228,26.3064,64.17,73,88,3.65,TR,2022-04-26 23:38:00
388,Fort Saint James,54.4333,-124.25,41.56,68,100,3.0,CA,2022-04-26 23:38:00
389,Lima,-12.0432,-77.0282,74.89,65,0,13.8,PE,2022-04-26 23:35:27
390,San Juan,-31.5375,-68.5364,76.68,9,0,43.42,AR,2022-04-26 23:38:01
391,Bokoro,12.3807,17.0568,95.52,27,83,4.43,TD,2022-04-26 23:38:01
392,Bintulu,3.1667,113.0333,75.61,94,40,5.01,MY,2022-04-26 23:38:02
393,Tiarei,-17.5333,-149.3333,86.02,71,21,21.5,PF,2022-04-26 23:38:02
394,Never,46.9896,3.159,46.15,93,9,5.3,FR,2022-04-26 23:35:52
395,Bocas Del Toro,9.3333,-82.25,80.04,81,100,7.99,PA,2022-04-26 23:38:03
396,Weihai,37.5017,122.1136,52.34,56,0,12.24,CN,2022-04-26 23:38:03
397,Tiznit,29.5833,-9.5,55.51,82,34,5.84,MA,2022-04-26 23:38:03
398,Mikuni,36.2171,136.1519,58.91,97,100,14.34,JP,2022-04-26 23:38:04
399,Novikovo,51.1537,37.8879,51.17,92,4,6.51,RU,2022-04-26 23:38:04
400,Prince Rupert,54.3161,-130.3201,44.69,76,100,4.61,CA,2022-04-26 23:38:05
401,Dahuk,36.8695,42.994,62.1,75,94,3.44,IQ,2022-04-26 23:38:05
402,Guane,22.2025,-84.0875,78.39,61,42,0.81,CU,2022-04-26 23:38:05
403,Tabuk,17.4189,121.4443,81.27,74,8,5.86,PH,2022-04-26 23:38:06
404,Nador,35.174,-2.9287,61.05,82,0,4.61,MA,2022-04-26 23:38:06
405,Coihaique,-45.5752,-72.0662,36.21,100,75,4.61,CL,2022-04-26 23:38:06
406,Karsun,54.1994,46.9827,53.08,91,32,6.8,RU,2022-04-26 23:38:07
407,Puerto Cabezas,14.0351,-83.3888,75.16,94,75,4.61,NI,2022-04-26 23:38:07
408,San Jeronimo,-11.9472,-75.2829,52.05,78,96,4.29,PE,2022-04-26 23:38:08
409,Fort Morgan,40.2503,-103.8,72.82,11,0,8.05,US,2022-04-26 23:39:08
410,Killybegs,54.6333,-8.45,47.57,76,94,8.79,IE,2022-04-26 23:39:08
411,Praia Da Vitoria,38.7333,-27.0667,62.85,88,20,19.55,PT,2022-04-26 23:37:44
412,Landskrona,55.8708,12.8302,44.55,83,38,7.7,SE,2022-04-26 23:39:09
413,Canaries,28.0,-15.5,58.96,68,40,17.27,ES,2022-04-26 23:39:09
414,Cayeli,41.0923,40.7292,58.15,63,25,1.59,TR,2022-04-26 23:39:10
415,Ahipara,-35.1667,173.1667,65.44,59,97,7.18,NZ,2022-04-26 23:39:10
416,Les Escoumins,48.1111,-69.0236,42.15,94,100,4.18,CA,2022-04-26 23:36:36
417,Tougue,11.4667,-11.6,76.66,24,3,2.93,GN,2022-04-26 23:39:11
418,Nacala,-14.5428,40.6728,73.04,97,88,7.67,MZ,2022-04-26 23:39:11
419,Leshukonskoye,64.8989,45.7622,23.86,93,100,9.78,RU,2022-04-26 23:39:11
420,Ponta Delgada,37.7333,-25.6667,65.5,88,20,10.36,PT,2022-04-26 23:38:28
421,Recife,-8.0539,-34.8811,82.44,65,20,10.36,BR,2022-04-26 23:39:12
422,Oudtshoorn,-33.5907,22.2014,48.56,91,1,2.53,ZA,2022-04-26 23:39:13
423,Kostomuksha,64.571,30.5767,24.48,94,99,4.27,RU,2022-04-26 23:39:13
424,Tecoanapa,16.5167,-98.75,84.38,56,12,5.17,MX,2022-04-26 23:39:13
425,Swan Hill,-35.3378,143.5544,59.99,86,100,11.83,AU,2022-04-26 23:39:14
426,Olinda,-8.0089,-34.8553,82.13,65,20,10.36,BR,2022-04-26 23:38:49
427,Aksarka,66.5606,67.7975,35.4,99,100,15.12,RU,2022-04-26 23:39:14
428,Indianola,41.3581,-93.5574,61.88,35,2,1.28,US,2022-04-26 23:39:15
429,Berlin,52.5244,13.4105,53.94,65,0,8.05,DE,2022-04-26 23:37:40
430,Toksovo,60.1532,30.5165,37.44,92,67,5.82,RU,2022-04-26 23:39:15
431,San Carlos De Bariloche,-41.1456,-71.3082,35.35,93,75,21.85,AR,2022-04-26 23:39:16
432,Ponta Do Sol,32.6667,-17.1,61.72,68,14,3.38,PT,2022-04-26 23:39:16
433,Ialibu,-6.2821,143.9935,63.46,90,85,3.24,PG,2022-04-26 23:39:16
434,Havoysund,70.9963,24.6622,21.43,76,100,25.81,NO,2022-04-26 23:39:17
435,Barcelos,41.5388,-8.6151,57.34,95,6,3.09,PT,2022-04-26 23:39:17
436,Bubaque,11.2833,-15.8333,78.3,75,60,12.57,GW,2022-04-26 23:39:18
437,Buin,-33.7333,-70.75,55.44,90,100,5.79,CL,2022-04-26 23:39:18
438,Avera,33.194,-82.5271,74.71,65,82,6.6,US,2022-04-26 23:39:18
439,Cayenne,4.9333,-52.3333,82.09,1,0,3.44,GF,2022-04-26 23:35:10
440,Batagay,67.6333,134.6333,16.52,89,95,4.74,RU,2022-04-26 23:39:19
441,Auki,-8.7676,160.7034,86.79,62,53,1.7,SB,2022-04-26 23:39:19
442,Okhotsk,59.3833,143.3,28.71,71,14,8.57,RU,2022-04-26 23:39:20
443,Nadym,65.5333,72.5167,32.36,96,100,25.43,RU,2022-04-26 23:39:20
444,Alexandria,31.2156,29.9553,62.56,82,0,5.75,EG,2022-04-26 23:35:58
445,Port-Cartier,50.0334,-66.8654,35.82,99,100,2.57,CA,2022-04-26 23:39:20
446,Arlit,18.7369,7.3853,80.35,13,0,7.18,NE,2022-04-26 23:39:21
447,Mandalgovi,45.7625,106.2708,34.39,20,36,9.66,MN,2022-04-26 23:39:21
448,Lembeni,-3.7833,37.6167,66.02,93,96,5.57,TZ,2022-04-26 23:39:21
449,San Cristobal,7.7669,-72.225,75.38,95,76,0.83,VE,2022-04-26 23:39:22
450,Eyl,7.9803,49.8164,80.44,77,75,6.2,SO,2022-04-26 23:39:22
