City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Weather Description
105,Carauari,-4.8828,-66.8958,84.2,75,91,1.45,BR,overcast clouds
106,Valdosta,30.8327,-83.2785,87.69,48,40,3.44,US,scattered clouds
107,Mabaruma,8.2,-59.7833,85.26,57,66,8.16,GY,broken clouds
108,Tiznit,29.5833,-9.5,69.82,37,0,6.24,MA,clear sky
109,Sao Filipe,14.8961,-24.4956,75.24,71,0,10.13,CV,clear sky
110,Torbay,47.6666,-52.7314,53.28,74,75,5.01,CA,broken clouds
111,Revda,56.801,59.9303,31.82,75,12,9.51,RU,few clouds
112,Port Elizabeth,-33.918,25.5701,62.89,90,0,9.22,ZA,clear sky
113,Barra Do Corda,-5.5,-45.25,86.68,68,54,4.65,BR,broken clouds
114,Dikson,73.5069,80.5464,7.88,99,100,10.96,RU,overcast clouds
115,Palana,59.1167,159.9667,25.23,93,14,7.72,RU,few clouds
116,Thompson,55.7435,-97.8558,26.76,80,100,13.8,CA,overcast clouds
117,Gat,31.61,34.7642,66.4,100,0,0.94,IL,clear sky
118,Chokurdakh,70.6333,147.9167,16.66,99,76,9.55,RU,broken clouds
119,Mount Gambier,-37.8333,140.7667,57.11,94,75,10.36,AU,broken clouds
120,Boa Vista,2.8197,-60.6733,91.38,40,40,14.97,BR,scattered clouds
121,Cairns,-16.9167,145.7667,73.35,94,100,9.22,AU,overcast clouds
122,Edd,13.9297,41.6925,89.55,53,2,10.29,ER,clear sky
123,Mlandizi,-6.7,38.7333,73.58,92,81,3.69,TZ,broken clouds
124,Meulaboh,4.1363,96.1285,77.09,89,100,3.44,ID,overcast clouds
125,Saint-Pierre,-21.3393,55.4781,75.9,76,0,4.61,RE,clear sky
126,Constitucion,-35.3333,-72.4167,59.38,58,99,12.46,CL,overcast clouds
127,Srednekolymsk,67.45,153.6833,29.37,93,100,1.07,RU,overcast clouds
128,Severomuysk,56.1481,113.4267,30.38,99,100,5.35,RU,light snow
129,Roebourne,-20.7833,117.1333,80.56,51,100,13.94,AU,overcast clouds
130,Ozinki,51.1786,49.6769,40.71,52,0,10.76,RU,clear sky
131,Shu,43.5983,73.7614,69.35,41,100,5.55,KZ,overcast clouds
132,Obihiro,42.9172,143.2044,41.52,96,100,3.56,JP,overcast clouds
133,Trairi,-3.2778,-39.2689,82.13,77,27,12.24,BR,scattered clouds
134,Shebunino,46.4339,141.8603,38.07,96,100,12.77,RU,overcast clouds
135,Uglovka,58.2392,33.5108,35.35,85,41,5.08,RU,scattered clouds
136,Kudat,6.8837,116.8477,77.29,94,20,0.0,MY,few clouds
137,Tuatapere,-46.1333,167.6833,47.5,92,14,6.35,NZ,few clouds
138,Sukhumi,43.0033,41.0153,54.19,98,100,3.02,GE,moderate rain
139,Nanortalik,60.1432,-45.2371,37.94,85,100,6.62,GL,overcast clouds
140,Portoferraio,42.8115,10.3146,63.12,77,20,0.0,IT,few clouds
141,Yulara,-25.2406,130.9889,60.64,63,75,6.91,AU,broken clouds
142,Belyy Yar,53.6039,91.3903,48.09,46,0,2.24,RU,clear sky
143,Hithadhoo,-0.6,73.0833,85.69,71,100,14.67,MV,overcast clouds
144,Khatanga,71.9667,102.5,14.65,91,98,10.85,RU,overcast clouds
145,Singarayakonda,15.25,80.0333,83.3,84,35,11.5,IN,scattered clouds
